compnumber,longname,shortname,status,countrycode,region,cik,mic,ticker,exchange,country
83341,Hudaco Industries Ltd. (South Africa),Hudaco Industries Ltd. (South,Active,ZAF,Africa,,1.8.2,,NL,ZAF
83382,"Samart Corp., Public Co., Ltd. (Thailand)","Samart Corp., Public Co., Ltd",Active,THA,Asia Pacific,,7.5.4,,,THA
4388,Griffon Corp.,Griffon Corp.,Active,USA,North America,50725.0,1.6.3,GFF,NYS,USA
83473,Cegid S.A. (France),Cegid S.A. (France),Active,FRA,Europe,,6.3.2,SCGI F,NL,FRA
83478,Klepierre S.A. (France),Klepierre S.A. (France),Active,FRA,Europe,,5.3.1,,NL,FRA
83480,China Vanke Co Ltd,China Vanke Co Ltd,Active,CHN,Asia Pacific,,5.3.2,CHVK F,NBB,CHN
33126,Agricultural Bank of Greece S.A. (ABG),Agricultural Bank of Greece S.A. (ABG),Active,GRC,Europe,,5.1.1,,NL,GRC
38078,Northern Dynasty Minerals Ltd,Northern Dynasty Minerals Lt,Active,CAN,North America,1164771.0,8.2.2,NAK,ASE,CAN
83604,Rotork Plc,Rotork Plc (United Kingdom),Active,GBR,Europe,1516537.0,7.2.1,RTOX F,NBB,GBR
5881,Tenet Healthcare Corp.,Tenet Healthcare Corp.,Active,USA,North America,70318.0,4.2.1,THC,NYS,USA
83624,Gamuda Berhad,Gamuda Berhad,Active,MYS,Asia Pacific,,7.5.2,GMUA F,NBB,MYS
83634,Banco Internacional do Funchal SA - BANIF,Banco Internacional do Funch,Active,PRT,Europe,,5.1.1,BCOI F,NBB,PRT
83641,Wiseman (Robert) Dairies PLC,Wiseman (Robert) Dairies PLC,Active,GBR,Europe,,1.2.1,,NL,GBR
83665,Tochigi Bank Ltd.,Tochigi Bank Ltd.,Active,JPN,Asia Pacific,,5.1.1,8550,TOK,JPN
83673,Hirogin Holdings Inc,Hirogin Holdings Inc,Active,JPN,Asia Pacific,,5.1.1,7337,TOK,JPN
83674,Higashi-Nippon Bank Ltd (The),Higashi-Nippon Bank Ltd (The,Active,JPN,Asia Pacific,,5.1.1,HGGF F,NBB,JPN
83690,Hanwha Chemical Corp,Hanwha Chemical Corp,Active,KOR,Asia Pacific,,8.4.2,HNWF F,NBB,KOR
83699,Hong Leong Bank Berhad,Hong Leong Bank Berhad,Active,MYS,Asia Pacific,,5.1.1,HLFA F,NBB,MYS
83703,"Global & Yuasa Battery Co., Ltd.","Global & Yuasa Battery Co.,",Active,KOR,Asia Pacific,,7.3.1,GBYU F,NBB,KOR
83705,Jeonbuk Bank Ltd,Jeonbuk Bank Ltd. (The) (Sou,Active,KOR,Asia Pacific,,5.1.1,,,KOR
83707,"Kunsul Chemical Industrial Co., Ltd. (South Korea)",Kunsul Chemical Industrial C,Active,KOR,Asia Pacific,,8.5.1,,NL,KOR
83711,Samsung Electro Mechanics Co Ltd,Samsung Electro Mechanics Co,Active,KOR,Asia Pacific,,7.3.1,SSEM F,NBB,KOR
83720,Lojas Renner SA,Lojas Renner SA,Active,BRA,Latin America,,2.1.1,LREN Y,NBB,BRA
83730,Chongkundang Holdings Corp,Chongkundang Holdings Corp,Active,KOR,Asia Pacific,,4.1.1,001630,KOR,KOR
83800,Press Metal Aluminium Holdings Berhad,Press Metal Aluminium Holdin,Active,MYS,Asia Pacific,,8.2.2,,NL,MYS
83796,Port Of Tauranga Ltd (New Zealand),Port Tauranga Ltd (New Zeala,Active,NZL,Asia Pacific,,7.4.2,PTAU F,NBB,NZL
83808,Calida Holding AG (Switzerland),Calida Holding AG (Switzerla,Active,CHE,Europe,,1.4.1,CDHO F,NBB,CHE
84092,Manitou BF SA,Manitou BF SA,Active,FRA,Europe,,7.5.4,,NL,FRA
85177,CLS Holdings plc,CLS Holdings plc (United Kin,Active,GBR,Europe,,5.6.3,CLI,LON,GBR
83821,Eastern & Oriental Berhad,Eastern & Oriental Berhad,Active,MYS,Asia Pacific,,2.2.1,,NL,MYS
83862,FBD Holdings PLC,FBD Holdings PLC,Active,IRL,Europe,,5.5.3,FBDH F,NBB,IRL
84889,ANADIGICS Inc,ANADIGICS Inc,Active,USA,North America,940332.0,6.2.4,ANAD,NAS,USA
75920,IOI Corp BHD,IOI Corp BHD,Active,MYS,Asia Pacific,,1.1.1,IOIO F,NBB,MYS
83975,Petronas Dagangan Berhad,Petronas Dagangan Berhad,Active,MYS,Asia Pacific,,9.1.2,PNAD F,NBB,MYS
84019,Kretam Holdings Berhad,Kretam Holdings Berhad,Active,MYS,Asia Pacific,,1.1.1,,NL,MYS
84126,Trencor Ltd (South Africa),Trencor Ltd (South Africa),Active,ZAF,Africa,1579182.0,7.4.2,,NL,ZAF
84127,Sarawak Oil Palms Berhad (Malaysia),Sarawak Oil Palms Bhd,Active,MYS,Asia Pacific,,1.2.1,SARK F,NBB,MYS
